GENE        	noTX	1buff_12h	1buff_24h	1buff_48h	wnt3a_12h	wnt3a_24h	wnt3a_48h	wnt5a_12h	wnt5a_24h	wnt5a_48h
BZRAP1      	0	1	0	0	0	0	0	0	0	0
BZW1        	9	8	11	10	9	12	12	14	10	10
BZW2        	34	32	0	0	0	0	0	33	0	30
C10orf10    	0	1	0	0	0	0	0	0	0	0
C10orf103   	0	0	0	0	0	0	0	0	0	0
C10orf105   	0	0	0	0	0	0	0	0	0	0
C10orf107   	0	0	0	0	0	1	0	0	0	0
C10orf108   	0	0	0	0	0	0	1	1	0	1
C10orf11    	0	0	0	0	0	0	0	0	0	0
C10orf111   	1	0	1	1	0	0	0	0	0	0
C10orf113   	0	0	0	0	0	0	0	0	0	0
C10orf114   	7	9	11	8	5	7	6	10	9	7
C10orf116   	0	0	0	0	0	1	0	0	1	0
C10orf118   	1	2	2	2	2	2	2	2	2	2
C10orf12    	3	3	3	3	3	4	6	5	4	4
C10orf120   	0	0	0	0	0	0	0	0	0	0
C10orf122   	0	1	0	0	0	0	0	0	0	0
C10orf125   	24	31	30	37	21	20	20	29	19	28
C10orf128   	0	0	0	0	0	0	0	0	0	0
C10orf129   	0	0	0	0	0	0	0	0	0	0
C10orf131   	0	0	0	0	0	0	0	0	0	0
C10orf136   	0	0	0	0	0	0	0	0	0	0
C10orf137   	6	6	6	5	6	7	7	9	7	7
C10orf140   	8	7	8	8	6	6	7	9	7	7
C10orf18    	6	5	6	5	7	8	10	9	8	7
C10orf2     	0	0	0	0	0	0	0	0	0	0
C10orf25    	1	1	1	1	2	1	2	2	1	2
C10orf26    	7	7	9	7	8	7	8	9	8	7
C10orf27    	0	0	0	0	0	0	0	0	0	0
C10orf28    	3	3	5	3	3	5	6	5	5	4
C10orf32    	12	12	14	12	10	15	17	18	15	16
C10orf32-AS3MT	1	0	0	0	1	1	0	0	0	0
C10orf35    	12	11	10	12	7	11	11	12	10	10
C10orf40    	0	0	0	0	0	0	0	0	0	0
C10orf44    	0	0	0	0	0	0	0	0	0	0
C10orf46    	6	6	6	5	5	7	9	9	8	8
C10orf47    	1	1	0	1	1	0	0	0	1	1
C10orf53    	0	0	0	0	0	0	0	0	0	0
C10orf54    	0	0	0	0	0	0	0	0	0	0
C10orf55    	0	0	0	0	0	0	0	0	0	0
C10orf57    	8	7	9	9	7	11	13	13	11	12
C10orf58    	40	46	47	44	41	50	53	52	48	47
C10orf62    	0	0	0	0	0	0	0	0	0	0
C10orf67    	1	1	1	1	1	1	1	1	1	1
C10orf68    	0	0	0	0	0	0	0	0	0	0
C10orf71    	0	0	0	0	0	0	0	0	0	0
C10orf76    	5	5	5	5	5	5	6	6	5	6
C10orf81    	0	0	0	0	0	0	0	0	0	0
C10orf82    	0	0	0	0	0	1	0	0	0	0
C10orf88    	3	4	4	4	3	4	4	5	5	5
C10orf90    	0	0	0	0	0	0	0	0	0	0
C10orf91    	0	0	0	0	0	0	0	0	0	0
C10orf92    	0	0	0	0	0	0	0	0	0	0
C10orf93    	1	2	1	2	1	1	2	2	1	1
C10orf95    	0	0	0	0	0	0	0	0	0	0
C10orf96    	0	0	0	0	0	0	0	0	0	0
C10orf99    	0	0	0	0	0	0	0	0	0	0
C11orf1     	23	21	27	26	20	31	28	31	28	28
C11orf10    	138	116	135	119	111	120	120	132	107	124
C11orf16    	0	0	0	0	0	0	0	0	0	0
C11orf2     	10	9	11	11	9	13	14	14	10	11
C11orf20    	0	0	0	0	0	1	1	0	0	0
C11orf21    	0	0	0	0	0	0	0	0	0	0
C11orf24    	9	9	9	9	9	13	13	14	11	11
C11orf30    	4	5	5	4	5	6	8	7	6	6
C11orf31    	0	32	41	0	32	0	0	0	0	0
C11orf34    	0	0	0	0	0	0	0	0	0	0
C11orf35    	0	0	0	0	0	0	0	0	0	0
C11orf36    	0	0	0	0	0	0	0	0	0	0
C11orf40    	0	0	0	0	0	0	0	0	0	0
C11orf41    	2	2	3	2	2	2	2	3	3	3
C11orf42    	0	0	0	0	0	0	0	0	0	0
C11orf45    	0	0	0	0	0	0	0	0	0	0
C11orf46    	9	8	14	11	11	13	14	16	13	12
C11orf48    	23	20	23	24	21	25	26	31	23	23
C11orf49    	34	36	31	39	28	26	29	31	29	29
C11orf51    	83	82	73	79	62	80	90	75	74	80
C11orf52    	0	0	0	0	0	0	0	0	0	0
C11orf53    	0	0	0	0	0	0	0	0	0	0
C11orf54    	7	6	7	7	6	9	9	9	9	8
C11orf57    	0	0	0	0	0	0	0	0	0	0
C11orf58    	16	15	19	16	16	18	17	24	17	18
C11orf61    	6	5	6	7	7	8	8	9	8	9
C11orf63    	0	0	0	1	0	0	0	0	0	1
C11orf65    	2	1	1	1	0	1	2	1	1	1
C11orf66    	0	0	0	0	0	0	0	0	0	0
C11orf67    	25	24	22	26	14	32	29	30	27	28
C11orf68    	0	0	0	0	0	0	0	0	0	0
C11orf70    	0	0	0	0	0	0	0	0	0	0
C11orf71    	3	4	7	5	5	4	5	5	3	5
C11orf73    	39	35	32	32	31	37	36	36	33	34
C11orf74    	14	12	7	11	10	14	16	17	14	16
C11orf75    	4	2	4	4	4	5	5	7	4	5
C11orf80    	0	0	0	0	0	0	0	0	0	0
C11orf82    	9	8	10	8	11	15	16	16	15	14
C11orf83    	22	19	28	23	28	20	19	23	18	19
C11orf84    	15	13	15	12	15	14	14	15	12	11
C11orf85    	0	0	0	0	0	0	0	0	0	0
C11orf86    	0	0	0	0	0	0	0	0	0	0
C11orf87    	0	0	0	0	0	0	0	0	0	0
C11orf88    	0	0	0	0	0	0	0	0	0	0
C11orf9     	1	2	2	1	1	1	1	1	1	1
C11orf91    	0	0	0	0	0	1	0	1	1	1
C11orf92    	0	0	0	0	0	0	0	0	0	0
C11orf93    	0	0	0	1	0	0	0	0	0	1
C11orf94    	1	1	0	0	0	1	1	0	0	0
C11orf95    	8	8	8	8	7	9	9	11	9	9
C11orf96    	1	1	0	1	1	1	1	1	1	1
C12orf10    	24	25	28	25	27	30	31	38	25	22
C12orf11    	11	10	12	11	9	15	15	16	13	15
C12orf12    	0	0	0	0	0	0	0	0	0	0
C12orf23    	17	18	18	17	15	24	25	29	23	24
C12orf24    	17	16	20	17	18	29	28	25	22	24
C12orf26    	4	4	6	4	5	5	6	6	6	6
C12orf29    	9	9	11	8	11	11	11	12	12	10
C12orf32    	61	53	58	55	50	59	62	63	57	57
C12orf33    	0	0	0	0	0	0	0	0	0	0
C12orf34    	5	5	6	5	7	6	7	5	5	4
C12orf35    	6	6	7	6	7	9	11	10	9	8
C12orf36    	0	0	0	0	0	0	0	0	0	0
C12orf37    	0	0	0	0	0	0	0	0	0	0
C12orf39    	3	1	4	2	1	1	1	4	3	4
C12orf4     	4	4	4	5	5	6	6	6	5	6
C12orf40    	0	0	0	0	0	0	0	0	0	0
C12orf41    	14	14	17	14	13	21	21	25	19	21
C12orf42    	0	0	0	0	0	0	0	0	0	0
C12orf43    	12	11	14	12	11	17	18	18	15	15
C12orf44    	36	39	33	38	32	31	28	28	24	25
C12orf45    	33	27	34	32	30	38	41	45	38	40
C12orf47    	0	0	4	0	0	0	0	3	0	3
C12orf48    	12	12	14	13	15	23	23	23	20	20
C12orf49    	11	10	13	11	9	14	16	17	14	14
C12orf5     	6	6	7	6	5	8	8	9	8	7
C12orf50    	0	0	0	0	0	0	0	0	0	0
C12orf51    	2	3	2	2	2	3	4	3	3	4
C12orf52    	9	9	10	8	8	10	11	10	9	9
C12orf53    	5	6	6	5	4	4	3	5	4	4
C12orf54    	0	0	0	0	0	0	0	0	0	0
C12orf56    	0	0	0	0	0	0	0	0	0	0
C12orf57    	100	78	99	92	77	81	81	102	71	70
C12orf59    	0	0	0	0	0	0	0	0	0	0
C12orf60    	2	1	1	2	2	2	2	2	3	2
C12orf61    	2	1	2	2	2	2	2	2	2	1
C12orf62    	48	42	57	53	43	59	57	69	52	51
C12orf65    	9	9	8	11	10	13	13	13	12	11
C12orf66    	2	2	2	2	2	3	3	2	2	2
C12orf67    	0	0	0	0	0	0	0	0	0	0
C12orf68    	17	15	18	17	14	15	15	22	17	17
C12orf69    	0	0	0	0	0	0	0	0	0	0
C12orf70    	0	0	0	0	0	0	0	0	0	0
C12orf71    	0	0	0	0	0	0	0	0	0	0
C12orf73    	13	14	15	13	11	15	15	21	14	15
C12orf74    	0	0	0	0	0	0	0	0	0	0
C12orf75    	54	48	57	56	41	50	44	73	52	57
C12orf76    	7	7	9	8	7	11	10	12	11	10
C12orf77    	0	0	0	0	0	0	0	0	0	0
C13orf15    	14	14	19	18	12	15	11	22	17	17
C13orf16    	0	0	0	0	0	0	0	0	0	0
C13orf26    	0	0	1	0	0	0	0	0	0	0
C13orf27    	9	11	14	12	14	14	17	18	16	17
C13orf30    	0	0	0	0	0	0	0	0	0	0
C13orf33    	0	0	0	0	0	0	0	0	0	0
C13orf35    	0	0	0	0	0	0	0	0	0	0
C14orf1     	33	28	38	32	28	38	38	50	38	38
C14orf101   	1	2	2	1	1	2	2	2	2	2
C14orf102   	3	3	3	3	3	3	3	4	3	2
C14orf105   	0	0	0	0	0	0	0	0	0	0
C14orf109   	35	36	38	36	40	38	40	46	41	42
C14orf118   	7	0	8	6	6	8	9	11	8	7
C14orf119   	9	9	10	10	0	13	14	15	12	0
C14orf126   	8	7	8	8	7	11	11	13	12	10
C14orf128   	1	2	1	1	1	1	1	2	2	1
C14orf129   	20	17	22	22	17	30	31	37	31	32
C14orf132   	11	10	11	9	8	10	11	14	11	10
C14orf135   	11	11	12	10	10	15	17	18	15	15
C14orf142   	9	10	11	11	9	13	15	16	14	13
C14orf148   	0	0	0	0	0	0	0	0	0	0
C14orf149   	2	2	3	3	3	2	3	3	2	2
C14orf153   	12	16	16	15	13	17	18	20	16	17
C14orf159   	1	0	0	1	2	2	2	1	0	2
C14orf162   	5	5	7	5	6	6	8	8	6	6
C14orf165   	0	0	0	0	0	0	0	0	0	0
C14orf166   	52	48	58	49	43	55	54	68	52	53
C14orf166B  	0	0	0	0	0	0	0	0	0	0
C14orf167   	2	3	4	3	3	3	3	3	2	3
C14orf169   	4	4	4	0	4	0	0	4	4	3
C14orf176   	3	3	3	2	2	3	4	4	3	2
C14orf177   	0	0	0	0	0	0	0	0	0	0
C14orf178   	0	0	1	1	1	0	0	0	1	0
C14orf180   	0	0	0	0	0	0	0	0	0	0
C14orf182   	0	0	0	0	0	0	0	0	0	0
C14orf183   	0	0	0	0	0	0	0	0	0	0
C14orf184   	0	0	0	0	0	0	0	0	0	0
C14orf19    	1	4	5	3	3	6	6	8	6	5
C14orf2     	115	111	184	118	85	122	103	106	98	147
C14orf21    	3	2	2	2	2	2	2	2	2	1
C14orf23    	0	0	0	0	0	0	0	0	0	0
C14orf28    	1	1	1	1	1	2	2	1	1	1
C14orf33    	1	1	0	1	1	0	1	0	1	0
C14orf34    	0	0	0	0	0	0	0	0	0	0
C14orf37    	5	5	5	5	3	5	7	8	6	5
C14orf38    	0	0	0	0	0	0	0	0	0	0
C14orf39    	0	0	0	0	0	0	0	0	0	0
C14orf43    	4	3	3	3	3	4	4	4	4	4
C14orf45    	2	2	3	2	2	2	2	2	2	2
C14orf48    	0	0	0	0	0	0	0	0	0	0
C14orf49    	0	0	0	0	0	0	0	0	0	0
C14orf50    	0	0	0	0	0	0	0	0	0	0
C14orf55    	0	0	0	0	0	0	0	0	0	0
C14orf64    	0	0	0	0	0	0	0	0	0	0
C14orf70    	0	0	0	0	0	0	0	0	0	0
C14orf79    	2	2	1	1	2	2	2	2	1	1
C14orf80    	14	9	10	10	8	6	8	6	5	6
C14orf82    	0	1	1	0	1	0	0	0	1	0
C14orf86    	0	0	0	0	0	0	0	0	0	0
C14orf93    	0	0	0	0	0	0	2	0	0	0
C15orf17    	6	6	6	5	5	6	7	7	6	7
C15orf2     	0	0	0	0	0	0	0	0	0	0
C15orf23    	14	15	14	13	12	17	16	17	14	14
C15orf24    	35	31	38	31	28	45	41	50	39	41
C15orf26    	0	0	0	0	0	0	0	0	0	0
C15orf27    	0	0	0	0	0	0	0	0	0	0
C15orf29    	4	3	4	4	3	4	5	5	4	4
C15orf32    	0	0	0	0	0	0	0	0	0	0
C15orf33    	2	2	1	1	1	2	1	3	2	1
C15orf34    	0	0	0	0	0	0	0	0	0	0
C15orf37    	3	2	3	2	2	2	3	2	2	2
C15orf38    	0	0	0	0	0	0	0	0	0	0
C15orf38-AP3S2	0	0	0	0	0	0	0	0	0	0
C15orf39    	4	4	4	4	4	4	5	4	4	4
C15orf40    	0	0	0	0	0	0	0	0	0	0
C15orf41    	4	3	3	3	4	5	3	5	3	4
C15orf42    	4	4	4	3	5	5	5	5	5	5
C15orf43    	0	0	0	0	0	0	0	0	0	0
C15orf44    	16	17	17	0	15	18	19	0	16	0
C15orf48    	0	0	0	0	0	0	1	0	0	0
C15orf5     	0	0	0	0	0	0	0	0	0	0
C15orf50    	0	0	0	0	0	0	0	0	0	0
C15orf52    	0	0	0	0	0	0	0	0	0	0
C15orf53    	0	0	0	0	0	0	0	0	0	0
C15orf54    	0	0	0	0	0	0	0	0	0	0
C15orf55    	0	0	0	0	0	0	0	0	0	0
C15orf56    	0	0	0	0	0	0	0	0	0	0
C15orf57    	11	9	8	10	7	0	11	12	0	13
C15orf58    	2	1	2	1	3	2	2	1	2	1
C15orf59    	1	1	2	1	1	1	1	1	1	1
C15orf60    	0	0	0	0	0	0	0	0	0	0
C15orf61    	7	5	6	5	4	5	5	7	5	4
C15orf62    	0	0	0	0	0	0	0	0	0	0
C15orf63    	8	14	18	12	15	11	8	17	11	9
C16orf11    	0	0	0	0	0	0	0	0	0	0
C16orf13    	128	140	121	143	113	142	131	109	113	132
C16orf3     	0	0	0	0	0	0	0	0	0	0
C16orf42    	0	0	0	0	0	43	0	0	0	0
C16orf45    	14	13	15	16	11	15	15	19	16	16
C16orf46    	1	2	1	2	2	1	1	2	1	1
C16orf48    	14	11	14	12	12	17	16	17	12	13
C16orf5     	17	17	17	16	15	17	17	17	15	15
C16orf52    	2	2	2	2	2	2	3	3	3	3
C16orf53    	0	0	0	0	0	7	7	0	6	0
C16orf54    	0	0	0	0	0	0	0	0	0	0
C16orf55    	7	7	7	8	5	8	8	9	8	8
C16orf57    	15	17	15	15	12	12	11	12	9	13
C16orf58    	5	5	6	7	5	6	7	6	5	4
C16orf59    	13	11	12	12	11	11	12	13	10	12
C16orf61    	16	11	13	16	14	17	17	14	16	13
C16orf62    	8	8	10	8	7	10	11	12	10	10
C16orf7     	2	0	0	2	1	1	1	0	1	0
C16orf70    	4	5	5	6	5	5	5	4	3	4
C16orf71    	0	0	0	0	0	0	0	0	0	0
C16orf72    	8	6	8	8	7	10	11	12	11	11
C16orf73    	0	0	0	0	0	0	0	0	0	0
C16orf74    	2	2	1	2	3	2	3	2	2	2
C16orf78    	0	0	0	0	0	0	0	0	0	0
C16orf79    	1	1	1	2	1	1	1	1	2	1
C16orf80    	48	43	54	48	40	48	49	57	45	46
C16orf82    	0	0	0	0	0	0	0	0	1	0
C16orf86    	2	1	2	2	1	1	0	1	1	0
C16orf87    	11	9	12	10	11	14	12	14	12	12
C16orf88    	13	11	12	13	11	17	17	18	16	16
C16orf89    	0	0	0	0	0	0	0	0	0	0
C16orf90    	0	0	0	0	0	0	0	0	0	0
C16orf91    	7	3	3	5	4	8	8	8	6	8
C16orf92    	0	1	0	0	0	0	0	0	0	0
C16orf93    	0	0	0	0	0	0	0	0	0	0
C16orf95    	6	5	4	8	5	7	6	3	5	5
C16orf96    	0	0	0	0	0	0	0	0	0	0
C17orf100   	4	4	4	5	3	5	5	6	5	5
C17orf101   	0	0	0	0	0	8	0	0	0	0
C17orf102   	0	0	0	0	0	0	0	0	0	0
C17orf103   	2	2	2	2	1	1	1	2	1	1
C17orf104   	0	0	0	0	1	1	1	1	1	1
C17orf105   	0	0	0	0	0	0	0	0	0	0
C17orf106-CDK3	0	0	0	0	0	0	0	0	0	0
C17orf107   	0	0	0	0	0	0	0	0	0	0
C17orf108   	4	3	5	6	4	4	5	5	4	5
C17orf109   	0	0	0	0	0	0	0	0	0	0
C17orf110   	0	0	0	0	0	0	0	0	0	0
C17orf28    	1	1	1	1	1	0	0	1	1	1
C17orf37    	47	43	44	47	34	57	53	69	49	54
C17orf39    	3	3	5	3	4	4	5	4	4	4
C17orf42    	13	12	13	11	8	19	21	23	18	21
C17orf46    	0	0	0	0	0	0	0	0	0	0
C17orf47    	0	0	0	0	0	0	0	0	0	0
C17orf48    	4	4	5	6	5	7	8	7	7	8
C17orf49    	359	324	305	363	270	331	342	287	271	304
C17orf50    	1	1	1	1	0	1	1	1	1	1
C17orf51    	1	1	1	1	2	1	2	1	1	1
C17orf53    	0	0	0	0	0	0	0	0	0	0
C17orf54    	0	0	0	0	0	0	0	0	0	0
C17orf55    	0	0	0	0	0	0	0	0	0	0
C17orf56    	3	3	2	2	2	1	2	2	1	1
C17orf57    	0	0	0	0	0	0	0	0	0	0
C17orf58    	13	10	15	11	15	18	19	23	18	18
C17orf59    	4	3	4	4	3	3	4	5	3	4
C17orf61    	126	96	135	102	109	92	87	95	64	80
C17orf61-PLSCR3	25	24	23	22	16	10	12	17	15	11
C17orf62    	0	0	0	0	0	41	0	0	0	0
C17orf63    	0	0	0	0	0	0	0	0	0	0
C17orf64    	0	0	0	0	0	0	0	0	0	0
C17orf65    	5	4	3	4	4	3	4	5	3	4
C17orf66    	0	0	0	0	0	0	0	0	0	0
C17orf67    	1	0	0	0	0	0	0	0	0	0
C17orf69    	3	2	4	3	2	3	3	3	3	3
C17orf70    	13	13	13	11	11	10	10	10	10	9
C17orf72    	1	0	0	0	0	1	0	0	0	0
C17orf73    	0	0	0	0	0	0	0	0	0	0
C17orf74    	1	0	0	0	0	0	0	0	0	0
C17orf75    	6	5	7	6	5	7	8	8	7	7
C17orf76    	0	0	4	0	3	0	0	3	3	0
C17orf77    	0	0	0	0	0	0	0	0	0	0
C17orf78    	0	0	0	0	0	0	0	0	0	0
C17orf79    	38	33	40	37	33	49	46	58	43	44
C17orf80    	13	12	14	14	12	17	17	18	16	15
C17orf81    	18	17	18	20	16	18	18	20	16	15
C17orf82    	1	1	1	1	0	0	0	1	0	1
C17orf85    	0	10	0	0	0	0	0	0	0	0
C17orf87    	0	0	0	0	0	0	0	0	0	0
C17orf88    	0	0	0	0	0	0	0	0	0	0
C17orf89    	78	86	90	90	70	73	70	91	68	81
C17orf90    	36	27	31	35	21	40	39	52	35	35
C17orf91    	1	2	2	2	1	1	1	2	1	1
C17orf96    	4	4	5	3	11	10	11	4	3	3
C17orf97    	2	3	2	2	2	3	2	2	2	2
C17orf98    	0	0	2	0	2	1	0	0	0	0
C17orf99    	0	0	0	0	0	0	0	0	0	0
C18orf1     	0	0	0	0	0	0	0	0	0	0
C18orf10    	47	43	53	45	42	50	52	65	47	48
C18orf18    	3	2	2	2	3	2	3	3	3	4
C18orf19    	4	3	3	3	4	4	4	4	4	4
C18orf2     	0	0	0	0	0	0	0	0	0	0
C18orf21    	37	30	36	33	0	35	34	36	32	31
C18orf25    	4	5	5	4	4	5	6	6	5	5
C18orf26    	0	0	0	0	0	0	0	0	0	0
C18orf32    	26	23	27	0	0	0	0	0	0	33
C18orf34    	0	0	0	0	0	0	0	0	0	0
C18orf42    	0	0	0	0	0	0	0	0	0	0
C18orf45    	1	2	1	1	2	2	2	2	2	1
C18orf54    	5	4	4	4	5	6	7	7	6	7
C18orf55    	9	7	7	9	8	13	12	12	10	11
C18orf56    	16	13	21	18	16	20	19	17	14	15
C18orf62    	0	0	0	0	0	0	0	0	0	0
C18orf63    	0	0	0	0	0	0	0	0	0	0
C18orf8     	2	2	4	2	3	3	3	4	3	3
C19orf10    	38	35	47	41	36	41	43	49	34	36
C19orf12    	5	4	6	5	4	6	6	6	5	6
C19orf18    	0	0	0	0	0	0	0	0	0	1
C19orf2     	34	33	34	33	34	48	49	50	45	45
C19orf20    	5	5	5	7	5	5	5	5	5	5
C19orf21    	0	0	0	0	0	0	0	0	0	0
C19orf22    	8	6	8	7	6	5	5	6	4	4
C19orf23    	1	1	1	1	2	1	1	0	1	1
C19orf24    	13	12	14	13	13	13	16	17	12	12
C19orf25    	10	11	10	9	9	9	8	11	7	9
C19orf26    	1	1	2	2	1	1	0	1	1	1
C19orf28    	13	14	10	12	11	9	8	8	8	8
C19orf29    	5	5	4	4	4	4	3	4	3	4
C19orf29OS  	0	0	0	0	0	0	0	0	0	0
C19orf33    	0	0	0	0	0	0	0	0	0	0
C19orf34    	0	0	0	0	0	0	0	0	0	0
C19orf35    	0	0	0	0	0	0	0	0	0	0
C19orf38    	0	0	0	0	0	0	0	0	0	0
C19orf39    	4	3	4	3	3	3	3	4	3	3
C19orf40    	4	5	4	5	6	7	7	7	6	6
C19orf42    	36	31	39	34	28	46	47	58	45	47
C19orf43    	88	75	94	86	78	85	81	110	76	85
C19orf44    	1	1	1	1	1	1	1	1	1	1
C19orf45    	0	0	0	0	0	0	0	0	0	0
C19orf46    	0	0	0	0	0	0	0	0	0	0
C19orf47    	5	6	6	5	5	4	4	5	4	4
C19orf48    	19	21	20	22	21	12	14	15	10	11
C19orf50    	94	81	81	86	63	65	63	62	60	62
C19orf51    	4	4	4	4	3	4	4	4	3	4
C19orf52    	8	8	11	11	7	11	11	10	9	9
C19orf53    	46	44	53	45	41	46	43	60	43	50
C19orf54    	5	4	4	4	4	5	6	6	5	5
C19orf55    	3	4	2	3	2	2	3	3	2	3
C19orf56    	59	50	62	57	49	59	65	80	61	60
C19orf57    	1	1	1	1	1	1	1	1	1	1
C19orf59    	0	0	0	0	0	0	0	0	0	0
C19orf6     	33	31	30	33	23	18	18	19	19	19
C19orf60    	51	44	50	53	37	54	47	49	41	44
C19orf63    	19	23	24	20	14	23	22	21	19	23
C19orf66    	0	0	0	0	0	0	0	0	0	0
C19orf69    	0	0	0	0	0	0	0	0	0	0
C19orf70    	20	17	22	19	16	22	22	25	19	18
C19orf71    	1	0	0	1	0	0	0	0	0	0
C19orf73    	3	1	2	1	1	2	2	1	2	2
C19orf75    	0	0	0	0	0	0	0	0	0	0
C19orf76    	2	2	2	2	2	1	2	2	1	2
C19orf77    	0	0	0	0	0	0	0	0	0	0
C19orf79    	295	307	321	316	283	185	196	185	173	201
C19orf80    	1	0	0	1	1	0	0	0	0	0
C1D         	2	2	3	0	2	3	3	2	2	3
C1GALT1     	3	3	3	2	3	3	4	3	4	4
C1GALT1C1   	5	3	5	4	3	7	6	6	5	4
C1QA        	0	0	0	0	0	0	0	0	0	0
C1QB        	0	0	0	0	0	0	0	0	0	0
C1QBP       	0	0	0	0	0	0	0	0	0	0
C1QC        	0	0	0	0	0	0	0	0	0	0
C1QL1       	2	2	2	2	2	1	0	1	1	1
C1QL2       	0	0	0	0	0	0	0	0	0	0
C1QL3       	0	0	0	0	0	0	0	0	0	0
C1QL4       	1	2	2	2	1	1	1	1	1	1
C1QTNF1     	0	0	0	0	0	0	0	0	0	0
C1QTNF2     	0	1	0	0	0	0	0	0	0	1
C1QTNF3     	0	0	0	0	0	0	0	0	0	0
C1QTNF3-AMACR	1	1	0	0	0	0	0	0	0	0
C1QTNF4     	4	4	4	4	2	3	2	3	3	3
C1QTNF5     	1	1	1	1	1	1	1	1	1	1
C1QTNF6     	5	5	7	7	5	8	8	6	6	8
C1QTNF7     	0	0	0	0	0	0	0	0	0	0
C1QTNF8     	0	0	0	0	0	0	0	0	0	0
C1QTNF9     	0	0	0	0	0	0	0	0	0	0
C1QTNF9B    	0	0	0	0	0	0	0	0	0	0
C1R         	1	1	2	1	1	1	1	2	1	1
C1RL        	0	1	0	0	0	0	0	0	0	0
C1S         	0	0	0	0	0	0	0	0	0	0
C1orf100    	0	0	0	0	0	0	0	0	0	0
C1orf101    	0	0	0	0	0	0	0	0	0	0
C1orf105    	0	0	0	0	0	0	0	0	0	0
C1orf106    	2	1	2	1	1	1	1	1	1	1
C1orf109    	12	12	16	13	14	19	21	22	17	19
C1orf110    	0	0	0	0	0	0	0	0	0	0
C1orf111    	0	0	0	0	0	0	0	0	0	0
C1orf112    	3	2	2	2	2	3	3	2	2	2
C1orf114    	7	6	5	5	4	6	7	8	7	6
C1orf115    	0	1	1	1	0	1	1	1	1	1
C1orf116    	0	0	0	0	0	0	0	0	0	0
C1orf122    	100	90	93	100	95	97	89	99	91	104
C1orf123    	18	15	20	20	15	25	26	28	26	23
C1orf124    	7	5	6	7	7	7	7	7	8	8
C1orf126    	0	0	0	0	0	0	0	0	0	0
C1orf127    	0	0	0	0	0	0	0	0	0	0
C1orf129    	0	0	0	0	0	0	0	0	0	0
C1orf130    	0	0	0	0	0	0	0	0	0	0
C1orf131    	9	9	11	9	11	15	14	15	13	13
C1orf133    	2	2	3	2	1	2	2	2	3	3
C1orf135    	5	4	3	4	6	5	5	4	4	4
C1orf140    	0	0	0	0	0	0	0	0	0	0
C1orf141    	0	0	0	0	0	0	0	0	0	0
C1orf144    	38	36	38	38	30	25	23	26	22	19
C1orf146    	0	0	0	0	0	0	0	0	0	0
C1orf15-NBL1	11	7	8	8	7	3	3	6	5	7
C1orf150    	0	0	0	0	0	0	0	0	0	0
C1orf151    	5	6	7	7	6	7	6	8	7	7
C1orf152    	0	0	0	0	0	0	0	0	0	0
C1orf158    	0	0	0	0	0	0	0	0	0	0
C1orf159    	6	6	7	6	5	5	5	6	4	5
C1orf162    	1	1	0	0	0	0	1	1	0	0
C1orf168    	0	0	0	0	0	0	0	0	0	0
C1orf170    	0	0	0	0	0	0	0	0	0	0
C1orf172    	0	0	0	0	0	0	0	0	0	0
C1orf173    	0	0	0	0	0	0	0	0	0	0
C1orf174    	6	6	6	5	7	7	9	8	7	7
C1orf177    	0	0	0	0	0	0	0	0	0	0
C1orf180    	0	0	0	0	0	0	0	0	0	0
C1orf182    	1	1	3	2	1	3	2	1	3	1
C1orf183    	2	1	1	1	1	1	1	1	1	1
C1orf185    	0	0	0	0	0	0	0	0	0	0
C1orf186    	0	0	0	0	0	0	0	0	0	0
C1orf187    	4	3	4	4	4	4	4	4	3	3
C1orf189    	0	0	0	0	1	0	1	0	1	5
C1orf190    	1	1	0	1	1	1	1	1	1	1
C1orf192    	0	3	0	3	5	4	5	5	4	4
C1orf194    	7	7	7	7	5	6	7	7	9	8
C1orf198    	20	22	23	22	22	21	23	23	20	21
C1orf200    	0	0	0	0	0	0	0	0	0	0
C1orf201    	0	0	0	0	0	0	0	0	1	0
C1orf204    	0	0	0	0	0	0	0	0	0	0
C1orf21     	3	3	3	2	3	3	3	3	3	3
C1orf210    	0	0	0	0	0	0	0	0	0	0
C1orf212    	4	3	4	3	3	4	4	4	4	4
C1orf213    	4	2	2	2	2	2	2	3	2	1
C1orf216    	2	1	1	1	2	1	1	1	1	1
C1orf220    	0	0	0	1	0	0	0	0	0	0
C1orf226    	5	6	5	4	5	7	6	6	6	5
C1orf227    	1	0	4	0	0	0	0	1	0	1
C1orf228    	1	0	0	0	0	0	0	0	0	0
C1orf229    	0	0	0	0	0	0	0	0	0	0
C1orf27     	5	4	6	5	4	6	7	7	6	6
C1orf31     	65	61	64	65	69	76	74	64	64	66
C1orf35     	15	13	14	12	12	13	13	13	11	9
C1orf38     	4	3	5	4	3	2	2	2	2	2
C1orf43     	55	55	57	54	52	54	50	53	44	47
C1orf49     	0	0	0	0	0	0	0	0	0	0
C1orf50     	11	10	12	8	5	12	13	12	12	11
C1orf51     	0	0	0	0	0	0	0	0	0	0
C1orf52     	7	7	8	7	6	10	10	11	9	9
C1orf53     	6	7	6	6	7	8	8	6	7	7
C1orf54     	6	7	8	7	6	6	7	9	7	6
C1orf55     	7	6	7	6	6	6	7	7	7	6
C1orf56     	6	4	6	6	8	6	6	6	6	7
